y,ds
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-09
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
